,video_id,rating
203,l864IBj7cgw,1
204,8wNr-NQImFg,18
205,_HTXMhKWqnA,10
206,YSVlSmZWzm0,28
207,cOboLQMO4tQ,-15
208,cMKX2tE5Luk,28
209,4MkC65emkG4,24
210,vu_9muoxT50,18
211,TdH_NL35Nbw,17
212,-Ifnaxi2LQg,24
213,CsdzflTXBVQ,23
214,eERPlIdPJtI,61
215,R6ja9qNmOaM,18
216,1L7JFN7tQLs,46
217,zgLtEob6X-Q,16
218,ZQK1F0wz6z4,36
219,_ANP3HR1jsM,22
220,zAtHxJvSczA,8
221,Ayb_2qbZHm4,33
222,xzPRACH6YwE,22
223,zcqZHYo7ONs,21
224,4X6a3G_0HjY,3
225,unIkqhB2nA0,13
226,w8fAellnPns,7
227,UCrBICYM0yM,15
228,A0lYm7Qsbak,35
229,JhA1Wi9mrns,13
230,T_PuZBdT2iM,2
231,FMVw_Ty8qTY,69
232,QBGaO89cBMI,23
233,3qVHkOOyD5s,15
234,B7YaMkCl3XA,24
235,ZtXkNMbjOEE,20
236,LcZ2AuvxXNA,32
237,ql0Op1VcELw,22
238,4Yue-q9Jdbk,32
239,l_uNfGY3v8E,-16
240,xA70bP5uzao,50
241,IYvEhgYy35I,41
242,JO7X9ZPoAp8,24
243,q9o_VjdugHw,-2
244,HcNcOnIkQQU,48
245,QH0fGSqow3c,1
246,h_mpwaCJUrY,9
247,MdzGZv3zQ-U,41
248,62cWuFjzOgs,6
249,EVp4-qjWVJE,25
250,2wxyDrfwlXQ,46
251,lv5uC6cfO5c,30
252,uBGECC5U09Q,-2
253,F1DxLQbx_bU,47
254,H8t5M9_Tvzk,33
255,WWexI9YiLSc,10
256,1ZNZY-gd3K0,-9
257,wfZGngrCpys,18
258,_lGL4Um83LM,10
259,LDcm6twPEJA,7
260,giIP0XdT7SA,20
261,oDIDZ9EmQfA,18
262,i2kJUYeb1Kw,23
263,Vjc459T6wX8,34
264,JZDM1bLn7sM,44
265,O78Lpo4ctSE,47
266,NzRuDD0iYC0,0
267,a7Sf_H2cFdM,44
268,EmjMWi0MBXQ,10
269,zTjcPeb2Gwg,35
270,bAon04ZJhHE,15
271,L3f7_y9UPh4,42
272,6vGg-jJl30A,46
273,hQbeB0YXLhs,71
274,AZTGeQ5msaU,19
275,g6piCiaGMZs,13
276,NYD9ByC0c_I,35
277,EuvVOA8uvsc,27
278,ei6FVbMysc4,60
279,WoPtuVbaSKQ,32
280,bp6uJJJMaLs,32
281,0fsKoK9yLE0,29
282,yiblDn4JGfQ,63
283,o0hMhEsMUs0,84
284,ah8SQNOXgrQ,25
285,eM_FR7I2Ttw,35
286,Ez95rPffd8k,-23
287,08RHSZvixec,13
288,LTnl36-0-zU,22
289,eoArC99zm1M,18
290,xKXxJcf6_IE,17
291,z1g7n0QZvvE,3
292,qZVm-2nM0sA,47
293,brfJuyTADuQ,20
294,eRDxDEhEgNY,32
295,Rew50oYjRqA,40
296,GpAuCG6iUcA,-8
297,iXexmZm3_j8,25
298,3yoGE3v4A8w,34
299,YQYslaA1Lus,30
300,O4pFdLJmG7M,16
301,c7ymY8QEB2g,59
302,tteLMfFDCb4,-6
303,-JmNKGfFj7w,28
304,zAXn-v9RdXo,1
305,S6eJbe5GyDo,4
306,IMG0u0_cKNc,9
307,E-NxvaVWjBM,5
308,aZkqHx5uri4,52
309,S9_fwmdCyzo,-1
310,NoxKH_v8b-8,7
311,EgUXkpAyqps,5
312,JsTptu56GM8,32
313,1Sm8A-u1vIA,11
314,ppGCbh8ggUs,38
315,1nEp6DcHwhs,32
316,etn4P80K5WU,39
317,B_CHjYoqPUU,22
318,gQvHtXWlXDE,14
319,DUFBEamEF0Q,13
320,kCKTmL5Hn-M,10
321,rHfyvSgvgoo,22
322,0Yhaei1S5oQ,10
323,N4Jb3gkrGXI,15
324,ktl2mLsSq4o,24
